2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-17 20:07:44,706 p=2958 u=vibakar |  fatal: [local]: FAILED! => {"changed": true, "cmd": "/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/startup.sh", "delta": "0:00:00.002416", "end": "2019-04-17 20:07:44.687934", "msg": "non-zero return code", "rc": 126, "start": "2019-04-17 20:07:44.685518", "stderr": "/bin/sh: 1: /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/startup.sh: Permission denied", "stderr_lines": ["/bin/sh: 1: /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/startup.sh: Permission denied"], "stdout": "", "stdout_lines": []}
2019-04-17 20:07:44,708 p=2958 u=vibakar |  	to retry, use: --limit @/home/vibakar/Downloads/ILP3/roles/tomcat/server.retry

2019-04-17 20:07:44,708 p=2958 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:07:44,708 p=2958 u=vibakar |  local                      : ok=4    changed=2    unreachable=0    failed=1   
2019-04-17 20:08:28,991 p=3388 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:08:29,001 p=3388 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:08:30,292 p=3388 u=vibakar |  ok: [local]
2019-04-17 20:08:30,347 p=3388 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:08:30,705 p=3388 u=vibakar |  ok: [local]
2019-04-17 20:08:30,762 p=3388 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:08:31,867 p=3388 u=vibakar |  changed: [local]
2019-04-17 20:08:31,922 p=3388 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:08:32,350 p=3388 u=vibakar |  changed: [local]
2019-04-17 20:08:32,408 p=3388 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:08:32,815 p=3388 u=vibakar |  changed: [local]
2019-04-17 20:08:32,819 p=3388 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:08:32,819 p=3388 u=vibakar |  local                      : ok=5    changed=3    unreachable=0    failed=0   
2019-04-17 20:09:37,608 p=3910 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:09:37,621 p=3910 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:09:38,903 p=3910 u=vibakar |  ok: [local]
2019-04-17 20:09:38,959 p=3910 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:09:39,321 p=3910 u=vibakar |  ok: [local]
2019-04-17 20:09:39,375 p=3910 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:09:40,551 p=3910 u=vibakar |  changed: [local]
2019-04-17 20:09:40,605 p=3910 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:09:40,994 p=3910 u=vibakar |  changed: [local]
2019-04-17 20:09:41,045 p=3910 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:09:41,349 p=3910 u=vibakar |  fatal: [local]: FAILED! => {"changed": true, "cmd": "/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/startup.sh", "delta": "0:00:00.010596", "end": "2019-04-17 20:09:41.331415", "msg": "non-zero return code", "rc": 2, "start": "2019-04-17 20:09:41.320819", "stderr": "touch: cannot touch '/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/logs/catalina.out': Permission denied\n/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/catalina.sh: 464: /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/catalina.sh: cannot create /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/logs/catalina.out: Permission denied", "stderr_lines": ["touch: cannot touch '/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/logs/catalina.out': Permission denied", "/home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/catalina.sh: 464: /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/bin/catalina.sh: cannot create /home/vibakar/Downloads/ILP3/tomcat/apache-tomcat-8.5.39/logs/catalina.out: Permission denied"], "stdout": "", "stdout_lines": []}
2019-04-17 20:09:41,352 p=3910 u=vibakar |  	to retry, use: --limit @/home/vibakar/Downloads/ILP3/roles/tomcat/server.retry

2019-04-17 20:09:41,352 p=3910 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:09:41,352 p=3910 u=vibakar |  local                      : ok=4    changed=2    unreachable=0    failed=1   
2019-04-17 20:10:05,944 p=4180 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:10:05,958 p=4180 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:10:07,247 p=4180 u=vibakar |  ok: [local]
2019-04-17 20:10:07,304 p=4180 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:10:07,690 p=4180 u=vibakar |  ok: [local]
2019-04-17 20:10:07,766 p=4180 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:10:08,947 p=4180 u=vibakar |  changed: [local]
2019-04-17 20:10:09,014 p=4180 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:10:09,447 p=4180 u=vibakar |  changed: [local]
2019-04-17 20:10:09,509 p=4180 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:10:09,814 p=4180 u=vibakar |  changed: [local]
2019-04-17 20:10:09,817 p=4180 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:10:09,817 p=4180 u=vibakar |  local                      : ok=5    changed=3    unreachable=0    failed=0   
2019-04-17 20:13:04,962 p=4731 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:13:04,972 p=4731 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:13:06,327 p=4731 u=vibakar |  ok: [local]
2019-04-17 20:13:06,387 p=4731 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:13:06,719 p=4731 u=vibakar |  ok: [local]
2019-04-17 20:13:06,782 p=4731 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:13:07,846 p=4731 u=vibakar |  changed: [local]
2019-04-17 20:13:07,909 p=4731 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:13:08,337 p=4731 u=vibakar |  changed: [local]
2019-04-17 20:13:08,399 p=4731 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:13:08,736 p=4731 u=vibakar |  changed: [local]
2019-04-17 20:13:08,739 p=4731 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:13:08,739 p=4731 u=vibakar |  local                      : ok=5    changed=3    unreachable=0    failed=0   
2019-04-17 20:15:57,276 p=5298 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:15:57,289 p=5298 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:15:58,666 p=5298 u=vibakar |  ok: [local]
2019-04-17 20:15:58,721 p=5298 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:15:59,084 p=5298 u=vibakar |  ok: [local]
2019-04-17 20:15:59,137 p=5298 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:16:00,229 p=5298 u=vibakar |  changed: [local]
2019-04-17 20:16:00,280 p=5298 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:16:00,709 p=5298 u=vibakar |  changed: [local]
2019-04-17 20:16:00,770 p=5298 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ******************************
2019-04-17 20:16:05,692 p=5298 u=vibakar |  changed: [local]
2019-04-17 20:16:05,745 p=5298 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:16:06,025 p=5298 u=vibakar |  changed: [local]
2019-04-17 20:16:06,030 p=5298 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:16:06,031 p=5298 u=vibakar |  local                      : ok=6    changed=4    unreachable=0    failed=0   
2019-04-17 20:18:13,741 p=6429 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:18:13,753 p=6429 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:18:15,072 p=6429 u=vibakar |  ok: [local]
2019-04-17 20:18:15,128 p=6429 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:18:15,457 p=6429 u=vibakar |  ok: [local]
2019-04-17 20:18:15,511 p=6429 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:18:16,658 p=6429 u=vibakar |  changed: [local]
2019-04-17 20:18:16,712 p=6429 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:18:17,156 p=6429 u=vibakar |  changed: [local]
